ts_local,mode,asset,direction,note,schedule_ts,schedule_str,payout,tf_s
2025-08-16T12:48:40,live,XAUUSD_otc,put,tf=60,,,90.0,60
2025-08-16T12:51:20,live,USDBDT_otc,put,tf=60,,,93.0,60
2025-08-16T12:56:16,live,LTCUSD_otc,put,tf=60,,,92.0,60
2025-08-16T12:58:07,live,APTUSD_otc,put,tf=60,,,88.0,60
2025-08-16T12:58:07,live,APTUSD_otc,put,tf=60,,,88.0,60
2025-08-16T13:02:20,live,APTUSD_otc,put,tf=60,,,92.0,60
2025-08-16T13:02:41,live,APTUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:07:33,live,GBPJPY_otc,call,tf=60,,,85.0,60
2025-08-16T13:13:03,live,MCD_otc,put,tf=60,,,80.0,60
2025-08-16T13:13:18,live,USDJPY_otc,call,tf=60,,,80.0,60
2025-08-16T13:19:00,live,FB_otc,call,tf=60,,,81.0,60
2025-08-16T13:19:19,live,TIAUSD_otc,call,tf=60,,,93.0,60
2025-08-16T13:21:39,live,DOTUSD_otc,call,tf=60,,,93.0,60
2025-08-16T13:21:46,live,DOTUSD_otc,call,tf=60,,,93.0,60
2025-08-16T13:24:42,live,USDCOP_otc,call,tf=60,,,80.0,60
2025-08-16T13:25:22,live,USDCHF_otc,call,tf=60,,,87.0,60
2025-08-16T13:26:53,live,BCHUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:28:49,live,ADAUSD_otc,put,tf=60,,,88.0,60
2025-08-16T13:34:45,live,USDNGN_otc,call,tf=60,,,80.0,60
2025-08-16T13:35:53,live,BEAUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:37:07,live,AUDCHF_otc,put,tf=60,,,90.0,60
2025-08-16T13:37:27,live,AUDCHF_otc,put,tf=60,,,90.0,60
2025-08-16T13:39:57,live,USDNGN_otc,put,tf=60,,,89.0,60
2025-08-16T13:40:46,live,XRPUSD_otc,call,tf=60,,,93.0,60
2025-08-16T13:40:50,live,JNJ_otc,call,tf=60,,,87.0,60
2025-08-16T13:43:24,live,MANUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:43:59,live,MANUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:45:01,live,MANUSD_otc,call,tf=60,,,93.0,60
2025-08-16T13:46:55,live,TIAUSD_otc,call,tf=60,,,93.0,60
2025-08-16T13:47:58,live,DASUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:49:08,live,AXSUSD_otc,put,tf=60,,,68.0,60
2025-08-16T13:50:56,live,EURAUD_otc,call,tf=60,,,90.0,60
2025-08-16T13:51:28,live,EURCHF_otc,call,tf=60,,,80.0,60
2025-08-16T13:54:40,live,USDDZD_otc,put,tf=60,,,93.0,60
2025-08-16T13:56:30,live,PEPUSD_otc,put,tf=60,,,93.0,60
2025-08-16T13:58:10,live,USDPHP_otc,call,tf=60,,,90.0,60
2025-08-16T13:59:53,live,USDCHF_otc,put,tf=60,,,83.0,60
2025-08-16T14:03:19,live,GBPAUD_otc,put,tf=60,,,85.0,60
2025-08-16T14:03:51,live,GBPAUD_otc,put,tf=60,,,85.0,60
2025-08-16T14:06:17,live,EURSGD_otc,put,tf=60,,,90.0,60
2025-08-16T14:11:55,live,AVAUSD_otc,put,tf=60,,,93.0,60
2025-08-16T14:20:46,live,DASUSD_otc,call,tf=60,,,85.0,60
2025-08-16T14:23:20,live,ARBUSD_otc,call,tf=60,,,93.0,60
2025-08-16T14:28:45,live,AUDCAD_otc,put,tf=60,,,90.0,60
2025-08-16T14:31:17,live,AXSUSD_otc,call,tf=60,,,93.0,60
2025-08-16T14:37:37,live,USDCHF_otc,put,tf=60,,,80.0,60
2025-08-16T14:40:04,live,ARBUSD_otc,call,tf=60,,,93.0,60
2025-08-16T14:43:37,live,USDARS_otc,call,tf=60,,,93.0,60
2025-08-16T14:49:46,live,NZDCAD_otc,call,tf=60,,,93.0,60
2025-08-16T14:52:17,live,APTUSD_otc,put,tf=60,,,93.0,60
2025-08-16T15:59:15,live,TRXUSD_otc,put,tf=60+confluence,,,93.0,60
2025-08-16T16:20:05,live,NOTUSD_otc,put,tf=60+confluence,,,93.0,60
2025-08-16T16:26:19,live,AUDUSD_otc,call,tf=60+confluence,,,92.0,60
2025-08-16T16:33:29,live,EURUSD_otc,call,tf=60+confluence,,,91.0,60
2025-08-16T16:44:39,live,USDJPY_otc,call,tf=60+confluence,,,92.0,60
2025-08-16T17:16:25,live,AUDCAD_otc,put,tf=60+confluence trend=sideways mode=fallback,,,90.0,60
2025-08-16T17:17:48,live,BCHUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-16T17:22:49,live,BEAUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-16T17:23:26,live,BEAUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-16T17:23:55,live,BEAUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-16T17:27:11,live,SHIUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-16T17:34:25,live,INTC_otc,put,tf=60+confluence trend=sideways mode=breakout,,,87.0,60
2025-08-16T17:49:56,live,BTCUSD_otc,call,tf=60+confluence trend=uptrend mode=fallback,,,93.0,60
2025-08-16T17:52:23,live,LINUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-16T17:53:38,live,ARBUSD_otc,put,tf=60+confluence trend=sideways mode=fallback,,,93.0,60
2025-08-16T18:04:24,live,USDTRY_otc,put,tf=60+confluence trend=downtrend mode=follow,,,92.0,60
2025-08-16T18:05:43,live,EURUSD_otc,call,tf=60+confluence trend=sideways mode=fallback,,,85.0,60
2025-08-16T18:06:56,live,ARBUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,91.0,60
2025-08-16T18:09:05,live,SOLUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-16T18:11:34,live,ADAUSD_otc,call,tf=60+confluence trend=sideways mode=fallback,,,93.0,60
2025-08-16T18:17:26,live,AUDNZD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,87.0,60
2025-08-16T18:27:00,live,AXSUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,91.0,60
2025-08-16T18:29:47,live,NOTUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,93.0,60
2025-08-16T18:32:37,live,SHIUSD_otc,call,tf=60+confluence trend=sideways mode=fallback,,,93.0,60
2025-08-16T18:33:52,live,AUDUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,93.0,60
2025-08-16T18:42:49,live,GALUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-16T18:53:36,live,ETCUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-16T19:27:16,live,BNBUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-16T19:54:20,live,APTUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-16T20:33:22,live,BONUSD_otc,put,tf=60+confluence trend=sideways mode=fallback,,,89.0,60
2025-08-16T20:34:57,live,AVAUSD_otc,call,tf=60+confluence trend=sideways mode=fallback,,,91.0,60
2025-08-16T20:39:29,live,NZDCHF_otc,put,tf=60+confluence trend=sideways mode=breakout,,,89.0,60
2025-08-16T20:52:30,live,TONUSD_otc,put,tf=60+confluence trend=sideways mode=fallback,,,93.0,60
2025-08-16T22:42:48,live,USDBDT_otc,call,tf=60+confluence trend=sideways mode=fallback,,,93.0,60
2025-08-16T22:50:06,live,XRPUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,93.0,60
2025-08-16T22:55:41,live,MELUSD_otc,call,tf=60+confluence trend=downtrend mode=fallback,,,53.0,60
2025-08-17T07:39:16,live,ZECUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-17T09:10:04,live,XRPUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,93.0,60
2025-08-17T09:21:15,live,BRLUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-17T09:29:06,live,TRUUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,93.0,60
2025-08-17T09:43:07,live,BONUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-17T09:50:55,live,PFE_otc,call,tf=60+confluence trend=sideways mode=breakout,,,80.0,60
2025-08-17T10:05:23,live,GALUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,92.0,60
2025-08-17T10:12:45,live,GBPAUD_otc,put,tf=60+confluence trend=sideways mode=fallback,,,93.0,60
2025-08-17T10:18:25,live,DOGUSD_otc,call,tf=60+confluence trend=sideways mode=fallback,,,90.0,60
2025-08-17T10:40:37,live,XRPUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-17T11:09:39,live,BRLUSD_otc,put,tf=60+confluence trend=sideways mode=breakout,,,93.0,60
2025-08-17T11:28:14,live,ARBUSD_otc,put,tf=60+confluence trend=downtrend mode=follow,,,93.0,60
2025-08-17T11:35:16,live,EURAUD_otc,call,parallel_scan quality=0.90 mode=momentum,,,82.0,60
2025-08-17T11:39:45,live,AXSUSD_otc,put,parallel_scan quality=1.00 mode=ema_cross,,,93.0,60
2025-08-17T11:42:03,live,CADJPY_otc,call,parallel_scan quality=0.77 mode=follow,,,90.0,60
2025-08-17T11:44:35,live,JNJ_otc,put,parallel_scan quality=0.92 mode=momentum,,,87.0,60
2025-08-17T11:48:44,live,PFE_otc,call,parallel_scan quality=1.00 mode=ema_cross,,,87.0,60
2025-08-17T11:53:17,live,MSFT_otc,call,parallel_scan quality=0.97 mode=momentum,,,87.0,60
2025-08-17T12:24:05,live,BRLUSD_otc,call,parallel_scan quality=1.00 mode=ema_cross,,,91.0,60
2025-08-17T12:25:35,live,ZECUSD_otc,call,parallel_scan quality=1.00 mode=trend_follow,,,93.0,60
2025-08-17T12:26:56,live,AXSUSD_otc,call,parallel_scan quality=1.00 mode=ema_cross,,,75.0,60
2025-08-17T12:28:47,live,EURGBP_otc,put,parallel_scan quality=0.92 mode=momentum,,,84.0,60
2025-08-17T12:30:10,live,AUDCAD_otc,put,parallel_scan quality=0.92 mode=momentum,,,89.0,60
2025-08-17T12:33:34,live,ADAUSD_otc,call,parallel_scan quality=0.97 mode=momentum,,,89.0,60
2025-08-17T12:35:14,live,GALUSD_otc,call,parallel_scan quality=1.00 mode=ema_cross,,,93.0,60
2025-08-17T12:36:49,live,MANUSD_otc,call,tf=60+confluence trend=uptrend mode=follow,,,93.0,60
2025-08-17T12:38:56,live,FLOUSD_otc,put,parallel_scan quality=0.95 mode=ema_cross,,,63.0,60
2025-08-17T12:40:34,live,TRUUSD_otc,call,parallel_scan quality=0.97 mode=trend_follow,,,93.0,60
