ts_local,asset,direction,timeframe_min,trade_time,forecast_pct,payout_pct,trade_epoch,seconds_until_entry,ignored,reason,raw
2025-09-06 09:38:10,CADJPY_otc,put,1,01:10:00,,,1757207400,75704,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 01:10:00 | 🔽 put
2025-09-06 09:43:57,CHFJPY_otc,put,1,01:15:00,,,1757207700,75657,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 01:15:00 | 🔽 put
2025-09-06 09:49:57,AUDUSD_otc,call,1,01:21:00,,,1757208060,75657,0,ok,💳 AUDUSD-OTC | 🔥 M1 | ⌛ 01:21:00 | 🔼 call
2025-09-06 09:55:58,EURJPY_otc,call,1,01:27:00,,,1757132820,56,0,ok,💳 EURJPY-OTC | 🔥 M1 | ⌛ 01:27:00 | 🔼 call
2025-09-06 10:08:16,NZDJPY_otc,put,1,01:40:00,,,1757133600,98,0,ok,💳 NZDJPY-OTC | 🔥 M1 | ⌛ 01:40:00 | 🔽 put
2025-09-06 10:22:30,NZDUSD_otc,call,1,01:54:00,,,1757134440,84,0,ok,💳 NZDUSD-OTC | 🔥 M1 | ⌛ 01:54:00 | 🔼 call
2025-09-06 10:32:01,CHFJPY_otc,put,1,02:03:00,,,1757134980,53,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 02:03:00 | 🔽 put
2025-09-06 10:41:23,EURAUD_otc,call,1,02:13:00,,,1757135580,91,0,ok,💳 EURAUD-OTC | 🔥 M1 | ⌛ 02:13:00 | 🔼 call
2025-09-06 10:51:02,GBPJPY_otc,put,1,02:22:00,,,1757136120,52,0,ok,💳 GBPJPY-OTC | 🔥 M1 | ⌛ 02:22:00 | 🔽 put
2025-09-06 10:56:02,BRLUSD_otc,call,1,02:27:00,,,1757136420,52,0,ok,💳 BRLUSD-OTC | 🔥 M1 | ⌛ 02:27:00 | 🔼 call
2025-09-06 11:03:01,CADJPY_otc,put,1,02:34:00,,,1757136840,53,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 02:34:00 | 🔽 put
2025-09-06 11:14:06,BRLUSD_otc,put,1,02:46:00,,,1757137560,108,0,ok,💳 BRLUSD-OTC | 🔥 M1 | ⌛ 02:46:00 | 🔽 put
2025-09-06 11:19:19,CADJPY_otc,put,1,02:51:00,,,1757137860,95,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 02:51:00 | 🔽 put
2025-09-06 11:26:06,GBPCAD_otc,put,1,02:57:00,,,1757138220,48,0,ok,💳 GBPCAD-OTC | 🔥 M1 | ⌛ 02:57:00 | 🔽 put
2025-09-06 11:32:06,GBPAUD_otc,call,1,03:03:00,,,1757138580,48,0,ok,💳 GBPAUD-OTC | 🔥 M1 | ⌛ 03:03:00 | 🔼 call
2025-09-06 11:44:07,BRLUSD_otc,put,1,03:16:00,,,1757139360,107,0,ok,💳 BRLUSD-OTC | 🔥 M1 | ⌛ 03:16:00 | 🔽 put
2025-09-06 11:49:22,CADCHF_otc,call,1,03:21:00,,,1757139660,92,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 03:21:00 | 🔼 call
2025-09-06 11:57:38,AUDJPY_otc,put,1,03:29:00,,,1757140140,76,0,ok,💳 AUDJPY-OTC | 🔥 M1 | ⌛ 03:29:00 | 🔽 put
2025-09-06 12:18:48,EURCHF_otc,call,1,03:50:00,,,1757141400,66,0,ok,💳 EURCHF-OTC | 🔥 M1 | ⌛ 03:50:00 | 🔼 call
2025-09-06 12:33:31,EURUSD_otc,put,1,04:05:00,,,1757142300,83,0,ok,💳 EURUSD-OTC | 🔥 M1 | ⌛ 04:05:00 | 🔽 put
2025-09-06 13:23:16,AUDJPY_otc,call,1,04:55:00,,,1757145300,98,0,ok,💳 AUDJPY-OTC | 🔥 M1 | ⌛ 04:55:00 | 🔼 call
2025-09-06 13:37:40,AUDCHF_otc,put,1,05:09:00,,,1757146140,74,0,ok,💳 AUDCHF-OTC | 🔥 M1 | ⌛ 05:09:00 | 🔽 put
2025-09-06 13:50:09,BRLUSD_otc,put,1,05:22:00,,,1757146920,105,0,ok,💳 BRLUSD-OTC | 🔥 M1 | ⌛ 05:22:00 | 🔽 put
2025-09-06 14:19:38,AUDCHF_otc,call,1,05:51:00,,,1757148660,76,0,ok,💳 AUDCHF-OTC | 🔥 M1 | ⌛ 05:51:00 | 🔼 call
2025-09-06 14:44:02,AUDNZD_otc,put,1,06:15:00,,,1757150100,52,0,ok,💳 AUDNZD-OTC | 🔥 M1 | ⌛ 06:15:00 | 🔽 put
2025-09-06 14:48:47,AUDUSD_otc,call,1,06:20:00,,,1757150400,67,0,ok,💳 AUDUSD-OTC | 🔥 M1 | ⌛ 06:20:00 | 🔼 call
2025-09-06 14:56:30,AUDCAD_otc,call,1,06:28:00,,,1757150880,84,0,ok,💳 AUDCAD-OTC | 🔥 M1 | ⌛ 06:28:00 | 🔼 call
2025-09-06 15:05:19,CHFJPY_otc,put,1,06:37:00,,,1757151420,95,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 06:37:00 | 🔽 put
2025-09-06 15:13:16,CADCHF_otc,call,1,06:45:00,,,1757151900,98,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 06:45:00 | 🔼 call
2025-09-06 15:24:20,CADJPY_otc,call,1,06:56:00,,,1757152560,94,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 06:56:00 | 🔼 call
2025-09-06 15:31:23,EURCHF_otc,put,1,07:03:00,,,1757152980,91,0,ok,💳 EURCHF-OTC | 🔥 M1 | ⌛ 07:03:00 | 🔽 put
2025-09-06 15:37:02,EURUSD_otc,put,1,07:08:00,,,1757153280,52,0,ok,💳 EURUSD-OTC | 🔥 M1 | ⌛ 07:08:00 | 🔽 put
2025-09-06 15:49:03,USDJPY_otc,call,1,07:20:00,,,1757154000,51,0,ok,💳 USDJPY-OTC | 🔥 M1 | ⌛ 07:20:00 | 🔼 call
2025-09-06 15:58:18,CADJPY_otc,call,1,07:30:00,,,1757154600,96,0,ok,💳 CADJPY-OTC | 🔥 M1 | ⌛ 07:30:00 | 🔼 call
2025-09-06 16:05:41,GBPAUD_otc,call,1,07:37:00,,,1757155020,73,0,ok,💳 GBPAUD-OTC | 🔥 M1 | ⌛ 07:37:00 | 🔼 call
2025-09-06 16:19:08,EURGBP_otc,call,1,07:51:00,,,1757155860,106,0,ok,💳 EURGBP-OTC | 🔥 M1 | ⌛ 07:51:00 | 🔼 call
2025-09-06 16:25:00,USDARS_otc,call,1,07:56:00,,,1757156160,54,0,ok,💳 USDARS-OTC | 🔥 M1 | ⌛ 07:56:00 | 🔼 call
2025-09-06 16:31:22,CHFJPY_otc,put,1,08:03:00,,,1757156580,92,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 08:03:00 | 🔽 put
